id,name,num followers,num tweets,type
1143171074307309576,CaragineCrystal,0,0,layman
964200909239599104,JPRubenzahl,36,403,layman
4652550634,Sarah_Brierley1,120,0,expert
467080179,liushiyu1223,14,0,layman
886271122337136641,jon_breece,5,1,layman
1153676327607832576,SofiaMFred,46,2,layman
620737037,haoran_zhang96,75,210,layman
45997314,SteveRogersinfo,414,733,expert
343587148,iworld1991,256,906,expert
953074269977636864,Tommyindahouseo,4,0,layman
40428645,Oskarryden,1129,24445,celebrity
625302090,fernandes_becky,298,4174,expert
830254152827572226,JadidAmaf,48,1363,layman
1029004997999046656,qisiangng,200,686,expert
880074086508048385,STArthurFR,1380,422,celebrity
45316503,QRoonjha,3741,18566,celebrity
1024931755374112769,ChanKaMing15,76,54,layman
1080822348,LoyolaCJC,761,2503,expert
2195431850,MuradKanrani,175,1200,expert
957852912390234112,AlexCecylia,458,91,expert
211180521,polarbear0627,302,480,expert
1095907512799449088,MorganSetDesign,122,176,expert
1133404771317092354,_lia_white_,3,0,layman
786632022995468288,TomasFJaramillo,65,1664,layman
343006476,michaelcurtin15,827,3829,expert
55728669,cespinosa10,254,1237,expert
1044010382162087939,jayrobw,146,125,expert
785805164200558592,ansarjaferi,63,110,layman
495192622,RyanFedasiuk,566,2092,expert
34692814,theoyakah,120,10,expert
24954354,surilisheth,507,1359,expert
258334458,josemaru718,545,8957,expert
402254088,MuhammadOwais17,270,66,expert
1869745322,Young_Poboy,283,2685,expert
1061680101681696768,gbbelarmino,0,0,layman
428691828,ctburks,597,88,expert
797093323,AjayVerghese,2575,5218,celebrity
521597806,NadiyaKostyuk,321,251,expert
2649140748,EverdingGerry,9,1,layman
621295544,gzdmrl,53,176,layman
9985902,alexburns,1463,9287,celebrity
984671202823176192,TiwadeUttam,209,224,expert
49097834,byron_powell,1900,718,celebrity
2184663451,tay_damann,38,35,layman
15512398,mikeseese,137,0,expert
354095930,docambler,270,452,expert
1547967121,20007339,3,7,layman
3314329218,WashURec,565,847,expert
1050768064306806786,RoiZur,303,312,expert
968923577553707008,SEMcMillin,433,2721,expert
538995060,RyanRapsRight,9,8,layman
72436735,LuciaMotoliniaC,573,5835,expert
1084661715210563586,DonWill35436867,169,48,expert
130015974,YuanYuan_Hsu,31,196,layman
289476074,dhmarkel,802,13902,expert
1098681399291330560,Jacob_Montg,335,371,expert
1579725564,AbdussamadAhma1,190,411,expert
811585118615670784,Intel_101,311,407,expert
3399870483,ijaz_haq93,171,3248,expert
294959617,BDesco,500,10067,expert
16481060,bkettenring,919,3115,expert
2425483891,WhitsonMark,6,39,layman
14631306,LesterSpence,9870,14433,celebrity
898315221298810882,saif_0557,114,601,expert
47739299,AJKnuppe,605,1428,expert
66464576,adeslatte,5206,16731,celebrity
