id,name,num followers,num tweets,type
1954980811,JenSmithWashU,346,431,expert
788467373934309381,wustlsoc,235,405,expert
921690530,BetsySinclair1,1388,199,celebrity
35773039,TheAtlantic,1809893,170365,celebrity
368681101,keithschnak,1259,5766,celebrity
452828175,ianRturner,1244,895,celebrity
263479789,gregjwhitfield,242,924,expert
164546388,BetulD_,52,8,layman
370474938,dalston_gawain,84,588,layman
2745459493,jeonghkim1,120,41,expert
22857061,Jktboston,172,118,expert
46418313,MattC15,187,2932,expert
61245063,STLFilmFest,2578,2684,celebrity
700189184,alucardi1,1125,14705,celebrity
2257513082,mhseo88,125,10,expert
1733128674,jeffreymziegler,186,849,expert
580070262,michtorresp,726,249,expert
1075366532,joncrogowski,490,50,expert
15420927,senecadoane,171,1969,expert
4059962960,WUSTLBio,658,529,expert
2612797260,matt_devoll,195,654,expert
3314329218,WashURec,565,847,expert
3192411776,WUSTLAnthro,595,936,expert
1704646470,mirandayaver,12830,66164,celebrity
2285368813,ScholarBridge,242,526,expert
2476359896,justinfoxstl,64,0,layman
17650690,AmyHC,432,1091,expert
2932897695,rlcalv,55,57,layman
1536791610,POTUS44,14975471,352,celebrity
822215679726100480,POTUS,26491931,6738,celebrity
2572033740,LarryvilleLaw1,1355,71776,celebrity
1250554160,the_noblest,75,54,layman
2997261583,WUSTL_CIO,388,794,expert
1064533471,prof_nokken,626,9118,expert
353511354,Scotty_Jacobs,102,90,expert
467536020,GayleGeren,744,6568,expert
764260766,usmanfalalu1,30,1473,layman
56245303,OlinWCC,1074,1532,celebrity
3038216124,wustlisp,1370,3185,celebrity
1558597950,RiaHan94,56,196,layman
2888393596,PSA_APG,1133,516,celebrity
94346957,wustlsts,472,551,expert
2567756700,washudems,306,66,expert
2165983896,pol_economist,412,785,expert
36717751,wustlconnect,195,2,expert
42955564,WUSTLGephardt,1228,1507,celebrity
1601592757,SJGivensSTL,595,952,expert
7054502,LeftBankBooks,9970,7859,celebrity
267841234,SaintLouCo,11991,7469,celebrity
223170394,holdenWU,7675,4684,celebrity
24426255,WUPSSA,66,57,layman
125152626,WUPR,507,1139,expert
48028479,wustl_reslife,990,506,expert
507846696,ReligPolitics,12516,7086,celebrity
17448965,RiverfrontTimes,119903,51726,celebrity
14677919,NewYorker,8700074,97805,celebrity
2242536402,WUSTLTTC,531,1388,expert
14426806,jwpatty,3186,321,celebrity
2550324926,OlinBSBA,417,613,expert
39284667,SLCL,11616,19618,celebrity
377177381,WU_DAC,156,39,expert
14293310,TIME,16189447,325655,celebrity
158994904,WUCS40,185,77,expert
777485077,WUSTLEconAC,132,639,expert
382468372,ClarissaHayward,881,6797,expert
51241574,AP,13466546,248872,celebrity
2467791,washingtonpost,14029916,327051,celebrity
