id,name,num followers,num tweets,type
1138251871485693952,SpiveyFaulkner,17,6,layman
973774069668687873,apaniaguaavila,111,122,expert
770612834178895872,shanziem,7,4,layman
1161747085080891393,diane_hudon,8,70,layman
391020740,dleers,28,42,layman
1137886885823410176,IhbzTfSvesni0bA,0,0,layman
747286289171439617,bigfish0010,25,20,layman
1084554494946537472,SulovSaha,8,7,layman
1148254636790276098,joshirsey,0,11,layman
39430498,spatns,244,442,expert
1040364861757116417,AndySchutzenho1,37,40,layman
284874004,LISAAcademy,604,1772,expert
137826112,LsfAtty4,578,11110,expert
65185254,babydogjen,1581,3232,celebrity
1163464985042800640,congwan95919842,0,0,layman
838217777873825794,KhushiSuman3,25,41,layman
4467182412,cothomas68,77,3053,layman
2283900457,GatormanRick77,11,40,layman
1163330624343556097,dl_galkin,1,1,layman
1161366000216023041,XuefengJiang1,0,0,layman
888079627742314496,emasud23,4,3,layman
1925570388,nunn_j,12,0,layman
924358674,PamelaSepik,12,20,layman
1662606074,khirscher,4,2,layman
724402302719791109,NommensenKristy,5,79,layman
1163107583948918785,atheistjane,115,76,expert
2429292812,MatthewFreund1,7,0,layman
3986153957,yourboiEvan,695,2429,expert
587913023,WoodleaGal,30,295,layman
65921545,Jjopes,60,466,layman
1153415824193069057,jemslow3,1,0,layman
1461994596,sanchezgermann,29,38,layman
27360017,Linda0704,17,33,layman
3346515693,MikeMiller312,3,1,layman
1163134616577822720,tbpayne2,7,0,layman
1163105850929668097,WeiQian49219121,0,0,layman
2889342558,chad_coates8,90,509,layman
2167979832,TonyJaccaci,619,2210,expert
812152223140560898,bballer_437,98,892,layman
3213803301,NolanNNHS,29,0,layman
2905468837,Anika_Walke,150,155,expert
843513270837243904,phukjieww,0,15842,layman
1014410516,steve_ott_72,9,15,layman
1151509987753103361,UTLegalClinic,53,27,layman
3225725619,mom2dog2,0,17,layman
3309808829,MiriamElman,2805,21703,celebrity
711691411964317696,DarcieMattec38,26,10,layman
1158374186735284224,mandylockss,0,0,layman
293449826,jenfisher21,19,13,layman
1162895027833638913,maggiebgg,1,0,layman
1162807196788432897,b19926491424,0,0,layman
1049868910974181378,Big_Paul_Sr,224,515,expert
1849461656,rushmegup03,21,57,layman
4441167027,stacysmallfield,14,20,layman
411966525,Kathyweaver1010,18,484,layman
778967426,LightningJ55,15,15,layman
2320682489,sara_katz,26,32,layman
1162765596406272002,NERothfuss,7,1,layman
4107301282,sam_m_122,474,687,expert
1454771832,akatpatel,9,1,layman
1084047483439931392,MiyaraShoval,86,42,layman
76947517,Katknews,1822,5259,celebrity
1162677709484503042,2heUluYJkFWVQiO,0,4,layman
718668827643351040,irene970405,3,0,layman
210891259,stjude95,17,768,layman
804007824,persephonenurse,775,2167,expert
766050954580004864,Jr2SHCounselors,196,319,expert
796403374778384384,LisaMur29606334,96,4392,layman
752955807512272896,Robert75346236,4,1,layman
871242924280905728,JoshShoemaker_,5,1,layman
1162471778226200577,WustlMAPS,2,0,layman
860550249475186688,mmmmskyscraper,6,0,layman
591469679,bstanellIII,203,333,expert
1058226112210190338,WHY75504061,1,1,layman
1021816825577910272,RebeccaRod11,34,53,layman
901246918210224133,laurenjsurratt,35,13,layman
1162406302875885570,CChorlins,4,1,layman
762366367534354433,marcoyoung_1,407,230,expert
1162084030428385281,kimayratae17,1,11,layman
2422735596,Lovestarlite_14,0,1,layman
550017374,aparnadeora,5,8,layman
705539763349164032,ipfconline1,113404,149941,celebrity
848102058,AdrianJayD,149,125,expert
750843356977229824,Ryan_zhang0629,7,5,layman
1067919886884712449,RiethJones,7,17,layman
1060403257833598978,ASVP_OSIRIS,13,3,layman
1045866720424947712,AnneJiang6,16,106,layman
1162141042340225024,zack_kalinowski,2,8,layman
1090288451646296065,GatzKatrin,53,6,layman
1001628052424572928,shuos_rst,3,109,layman
1160554308112457729,NIGUOWEI1,1,0,layman
1162123248894693377,RegalSportsMW,10,239,layman
1161171621341749248,JLovingkx,0,0,layman
150688186,KCMOHealthDept,5312,5229,celebrity
32915932,ABSWashU,508,956,expert
1162068778777305090,ElamStine,21,1,layman
1162014378750894080,RBHSCounselor,11,0,layman
250109184,Robert_C_Power,212,217,expert
1161889874665967618,mosici,0,0,layman
112052523,OpeSotonwa,122,1942,expert
1051529778396712960,Fuadahmed_19,165,263,expert
467569652,GSirle,43,6400,layman
1150860805979557889,Fuaaaaaad_ahmed,21,133,layman
1156659860395712513,ChaoPumbaa,1,3,layman
958398680863838208,judyreports,83,339,layman
1150796898019741696,VisionaryBA,2,4,layman
898004563,RachelDahm1,647,2088,expert
1161721240463314946,NicholasMormino,4,0,layman
1135697520816984064,KarrenKnowlton,19,5,layman
3260262854,SLU_IPE,260,130,expert
1161675392400257025,AsiaTom1,29,25,layman
1147147434931437573,PeregoyCharles,70,146,layman
264316089,howdahplantae,571,25464,expert
1094042288374861824,KhalfaniMar,60,349,layman
345963634,mahmoudqrdahgy,26,22,layman
718072400,EA_Puplampu,378,7042,expert
385081737,mburakozata,39,416,layman
926785786455797760,Clartstudio,4,0,layman
768189324366057473,DaZheng666666,0,0,layman
3655830134,bkelber67,3,21,layman
1161454906378575872,WWHuang2,4,4,layman
1366145155,Skbower,12,772,layman
1156943049903288320,SandhuHarvin,4,0,layman
1047295501803159553,StemTutorMx,111,1,expert
1063812013070213121,DECAJustin,19,8,layman
717751129979748353,JessicaCButts,114,112,expert
905175763674173441,MarCom_Awards,1068,839,celebrity
3054117411,ellawesson,67,12,layman
1161291702247800832,_johnjohng_,4,0,layman
18852661,omarhernandez,580,18454,expert
1161256653142052864,tinacassidytlc,0,0,layman
1161176883666419712,jarnacke2,0,1,layman
4707517969,ceciliawacu26,24,0,layman
2278030831,HofmeyerMelissa,19,1,layman
943547351049822208,Lvlelvn,32,2,layman
766331461041553408,DonPerkins16,7,1,layman
575042113,Weidionroad,17,32,layman
20719941,baruah,23,0,layman
2868899541,chiemeka79,274,25631,expert
750274531156189185,OmarSha85940266,24,10,layman
1151901460415651841,HarshVe61926094,2,20,layman
1105822291122900992,haris_voksic,4,12,layman
2880024929,AntonTPiskac,4,213,layman
1160807259515031552,KadanOhad,4,0,layman
1159488095131262981,PTHS_Counseling,44,45,layman
878727365819543552,keshav_udeshi,9,3,layman
1143159611362631681,genetics_junkie,25,39,layman
532716562,taylormoser_,524,6435,expert
1052707068300398592,grwatkins17,33,37,layman
924327180678594560,QueenBamela,62,549,layman
1160217358616662016,auguatusyu,0,0,layman
1641945427,tugejnvfrhi75,20,151,layman
1127213945939357702,yvonne62600569,0,4,layman
4692745760,kate71890,7,0,layman
1124899945138376704,JuanMan06691499,53,139,layman
375846913,AnitaHerRiv,339,8170,expert
1139151444379078656,JohannGreyling4,467,9442,expert
2632335299,LisaTConnor,179,285,expert
1071635132740587526,DomnicBett,21,5,layman
3283866204,jhk0631,15,62,layman
908373132448342016,awesome_autumn3,46,37,layman
3474382454,GrantYaney,48,37,layman
1160300812196810752,NickLyn40016010,1,0,layman
1158347617270685696,GritStreetMedia,0,0,layman
1129885890225037313,imabotbruh,0,30,layman
1160232149641027584,BellaHe16,2,0,layman
941042771422408704,hsuehjun,3,1,layman
1107398047,emmarose739,179,4494,expert
3916895535,RacismeSocial,432,9892,expert
1075171668,ashton_gurl23,98,439,layman
996652383433183233,ConstanceCorne9,11329,67791,celebrity
1060341032594882560,sophubi,71,18,layman
3300932695,HerrinNoah,14,16,layman
1613840995,whitbert,66,393,layman
1060098012658061312,linyihai2,23,0,layman
2553053010,DougUlrich2,900,13112,expert
1159946010254139392,RoyZhu36031365,1,0,layman
1159936093942214656,PKoulogeorge,26,2,layman
267372565,marielacuadro,678,2137,expert
1155768132369362945,quesadillas122,16,3,layman
525974888,cmribakoff,171,659,expert
2755288770,foxfamily6,5,1,layman
2347943120,edina_ah,218,1707,expert
37359614,HeatherNStL,1121,709,celebrity
970722136062128129,ka_pegah,67,44,layman
819856014715461636,anslemfelexx,1324,6659,celebrity
1134409156830609408,EvanKaplan16,0,0,layman
278667522,Slphillips10,185,1050,expert
1144610415311122432,mehersingha,30,7,layman
2445003877,CraigRiggins,59,209,layman
484461023,CatLoverKT,219,0,expert
1159575806387138562,BowermanNolen,79,2,layman
441800845,yuvakarthik2,1137,35071,celebrity
1971877830,Sabino_Zarrabal,85,0,layman
957206495514554369,PilarGonzN,16,34,layman
1836021182,ilkoleno,121,94,expert
3329323684,EMDB_EMPIAR,2077,502,celebrity
